GAME_ID,NAME,BOX_ART,DETAILS_URL,MAIN_STORY_LENGTH,MAIN_EXTRA_LENGTH,COMPLETIONIST_LENGTH,COMBINED_LENGTH
117,35MM,gameimages/37538_35MM.jpg,game.php?id=37538,4,5,7,5
118,3079,gameimages/3079pcgame.jpg,game.php?id=66,3,3.5,3.5,3.5
119,3089,gameimages/3089.jpg,game.php?id=11954,6.5,7.5,-1,7
120,3DRPG,gameimages/34214_3DRPG.jpg,game.php?id=34214,-1,-1,-1,-1
121,3D Galaxy Force II,gameimages/3D_Galaxy_Force_II.jpg,game.php?id=15474,27,-1,32,28
122,30 Impossible Levels,gameimages/37409_30_Impossible_Levels.jpg,game.php?id=37409,2,5,20,7
123,Xevious,gameimages/1331123-xevious_box_large.png,game.php?id=11408,55,-1,6,3.5
124,300 Dwarves,gameimages/300_Dwarves.jpg,game.php?id=16767,3,3,3,3
125,3D Classics: Excitebike,gameimages/3dclassicexcitebike.jpg,game.php?id=67,1.5,5.5,5.5,2.5
126,3 Skulls of the Toltecs,gameimages/3SkullsoftheToltecs.jpg,game.php?id=16662,-1,-1,-1,-1
127,3 Count Bout,gameimages/22096_3_Count_Bout.jpg,game.php?id=22096,2,-1,-1,2
128,3D Tetris,gameimages/3D_Tetris.jpg,game.php?id=19636,-1,-1,-1,-1
129,3D Mini Golf,gameimages/3D_Mini_Golf_header.jpg,game.php?id=30843,-1,-1,-1,-1
130,3D Tunnel,gameimages/25598_3D_Tunnel.jpg,game.php?id=25598,-1,-1,-1,-1
131,3rd Super Robot Wars Z: Tengoku-hen,gameimages/3rdSuperRobotWarsZTengoku-hen-Init.jpg,game.php?id=25253,62.5,-1,-1,62.5
132,3-D Ultra Radio Control Racers,gameimages/3-DUltraRadioControlRacers.jpg,game.php?id=20197,-1,-1,-1,-1
133,3030 Deathwar,gameimages/3030_Deathwar.png,game.php?id=23667,-1,-1,-1,-1
134,3-D Ultra Pinball,gameimages/34838_3-D_Ultra_Pinball.jpg,game.php?id=34838,-1,5,-1,5
135,3D Ecco the Dolphin,gameimages/45870_3D_Ecco_the_Dolphin.jpg,game.php?id=45870,-1,-1,-1,-1
136,3D Baseball,gameimages/45274_3D_Baseball.png,game.php?id=45274,-1,-1,-1,-1
137,3Souls,gameimages/40956_3Souls.jpg,game.php?id=40956,2,2,-1,2
138,3-D Tic-Tac-Toe,gameimages/39144_Tic-Tac-Toe.jpg,game.php?id=39144,-1,-1,-1,-1
139,3030 Deathwar Redux,gameimages/38505_3030_Deathwar_Redux.jpg,game.php?id=38505,-1,12.5,-1,12.5
140,3D Maze Walker,gameimages/37324_3D_Maze_Walker.jpg,game.php?id=37324,1,-1,1.5,1.5
141,3 Coins At School,gameimages/37291_3_Coins_At_School.jpg,game.php?id=37291,-1,-1,-1,-1
142,3D Fantasy Zone II W,gameimages/37268_3D_Fantasy_Zone_II_W.jpg,game.php?id=37268,1.5,-1,4,2.5
143,36 Fragments of Midnight,gameimages/49062_36_Fragments_of_Midnight.jpg,game.php?id=49062,-1,-1,-1,-1
144,3 Cards to Dead Time,gameimages/3CardstoDeadTime.jpg,game.php?id=19122,11.5,-1,-1,11.5
145,3 Cards to Midnight,gameimages/3CardstoMidnight.jpg,game.php?id=19121,17.5,-1,-1,17.5
146,Dai-3-ji Super Robot Taisen,gameimages/3rd_Super_Robot_Wars.jpg,game.php?id=18302,-1,-1,-1,-1
147,3D Chess,gameimages/42270_3D_Chess.jpg,game.php?id=42270,2,-1,-1,2
148,Smurf Racer!,gameimages/220px-Smurf_Racer_PS.jpg,game.php?id=8669,45,-1,-1,45
149,3Xtreme,gameimages/250px-3Xtreme_Cover.jpg,game.php?id=76,41,-1,-1,41
150,3SwitcheD,gameimages/3SwitcheD_292x136.jpg,game.php?id=75,1.5,-1,-1,1.5
151,3rd Super Robot Wars Alpha: To the End of the Galaxy,gameimages/Superrobotwarsalpha3.jpg,game.php?id=74,-1,-1,-1,-1
152,3D Ultra MiniGolf Adventures 2,gameimages/3DUltraMiniGolfAdventures2.jpg,game.php?id=72,-1,-1,20,20
153,3D Pinball Express,gameimages/3D_Pinball_Express.jpg,game.php?id=70,-1,-1,-1,-1
154,3-D WorldRunner,gameimages/NES3dworldrunnerbox_mod.png,game.php?id=65,1,-1,-1,1
155,TwinBee,gameimages/Twinbee_flyer.png,game.php?id=10715,26,32,-1,29
156,3D Pinball for Windows - Space Cadet,gameimages/3dpinballspacecadet.jpg,game.php?id=12880,5,-1,-1,-1
157,3 Stars of Destiny,gameimages/3StarsofDestiny.jpg,game.php?id=17655,15,31,-1,27.5
158,3 Ninjas Kick Back,gameimages/3_Ninjas_Kick_Back_Coverart.jpg,game.php?id=14034,2,2.5,-1,2
159,3 in Three,gameimages/557689-box2front.jpg,game.php?id=16200,-1,-1,-1,-1
160,30 Flights of Loathing,gameimages/30_Flights_of_Loathing.jpg,game.php?id=14935,5,-1,15,5
161,3 on 3 NHL Arcade,gameimages/Cbox3on3nhlarcade.jpg,game.php?id=63,1,-1,1.5,1
162,3D Classics: Kid Icarus,gameimages/3D_Classics_Kid_Icarus.jpg,game.php?id=14805,4,4.5,5,4
163,300: March to Glory,gameimages/252px-300_psp_Box_art.jpg,game.php?id=14308,7.5,8,-1,7.5
164,3D Gunstar Heroes,gameimages/SI_3DSDS_3DGunstarHeroes.jpg,game.php?id=29845,2,2,14,2.5
165,Dai-3-Ji Super Robot Taisen Z Rengoku Hen,gameimages/no_boxart.png,game.php?id=25252,4.5,-1,-1,4.5
166,Lemmings 3D,gameimages/256px-3dlemmings_boxart.jpg,game.php?id=5278,-1,-1,-1,-1
167,3D Dot Game Heroes,gameimages/3D_Dot_Game_Heroes_JPNBox.jpg,game.php?id=69,15.5,21.5,27.5,20
168,3D Ultra MiniGolf Adventures,gameimages/Cbox3dultraminigoldadventures_test.jpg,game.php?id=71,-1,-1,-1,-1
169,404Sight,gameimages/404Sight_header.jpg,game.php?id=26300,49,1,1,55
170,4D Prince of Persia,gameimages/44061_Prince_of_Persia_4D.png,game.php?id=44061,-1,-1,-1,-1
171,4-in-1 Fun Pak,gameimages/4-in-1FunPakcover.jpg,game.php?id=20558,4,-1,-1,-1
172,4x4 Dream Race,gameimages/4x4_Dream_Race_header.jpg,game.php?id=22819,-1,-1,-1,-1
173,4 Pics 1 Word,gameimages/22855_4_Pics_1_Word.jpg,game.php?id=22855,-1,-1,-1,-1
174,4x4 Evolution,gameimages/4x4_Evolution_DC.jpg,game.php?id=24556,12.5,-1,-1,12.5
175,42 All-Time Classics,gameimages/42_All-Time_Classics.jpg,game.php?id=25000,-1,-1,-1,-1
176,4 Wheel Thunder,gameimages/285px-4_Wheel_Thunder_ntsc-front.jpg,game.php?id=26635,-1,-1,-1,-1
177,4089: Ghost Within,gameimages/4089_Ghost_Within_header.jpg,game.php?id=26811,-1,9,-1,9
178,4 Elements,gameimages/1432023-header_large.jpg,game.php?id=77,8.5,9.5,10.5,9.5
179,4 Elements II,gameimages/4ElementsII.jpg,game.php?id=19468,6,-1,-1,6
180,4D Sports Tennis,gameimages/4517-2-4d-sports-tennis.jpg,game.php?id=19166,-1,-1,-1,-1
181,4 Wheel Drive,gameimages/4_wheel_drive.jpg,game.php?id=78,40,-1,-1,40
182,40 Winks,gameimages/256px-40_Winks_cover_art.jpg,game.php?id=79,6.5,10,-1,7.5
183,400 Years,gameimages/400_years.png,game.php?id=80,19,-1,-1,19
184,4x4 Hummer,gameimages/250px-4X4_Hummer_Cover.jpg,game.php?id=83,7,-1,-1,7
185,Stunts,gameimages/220px-Stunts-dos-cover.jpg,game.php?id=9289,3,8,-1,5
186,4D Sports Boxing,gameimages/4D_Sports_Boxing.jpg,game.php?id=11856,-1,-1,-1,-1
187,4V4 Arashi Get The Goal,gameimages/4V4_Arashi_Get_The_Goal.jpg,game.php?id=15084,-1,-1,3,3
188,4x4 EVO 2,gameimages/250px-4x4_EVO_2_Coverart.png,game.php?id=17135,-1,-1,-1,-1
189,H!Zone: For Heretic and Hexen (WAD),gameimages/38763_HZone_For_Heretic_and_Hexen_(WAD).jpg,game.php?id=38763,-1,-1,-1,-1
190,4PM,gameimages/4PM_header.jpg,game.php?id=19743,26,29,37,27
191,50 Cent: Blood on the Sand,gameimages/50_Cent_Blood_on_the_Sand.jpg,game.php?id=85,6,7,8,6.5
192,500 Years: Act 1,gameimages/500_Years_Act_1_header.jpg,game.php?id=28328,-1,-1,3.5,3.5
193,50 years,gameimages/42258_50_years.jpg,game.php?id=42258,-1,-1,-1,-1
194,5089: The Action RPG,gameimages/34862_5089_The_Action_RPG.jpg,game.php?id=34862,-1,8.5,-1,8.5
195,50 Cent: Bulletproof,gameimages/50_Cent_Bulletproof.jpg,game.php?id=86,6,-1,-1,6
196,5 Minutes Rage,gameimages/45029_5_Minutes_Rage.jpg,game.php?id=45029,-1,-1,-1,-1
197,5 Days a Stranger,gameimages/5_Days_a_Stranger.gif,game.php?id=84,3,-1,-1,3
198,60 Seconds!,gameimages/60_Seconds_header.jpg,game.php?id=26810,3,5,-1,3.5
199,688(I) Hunter/Killer,gameimages/300px-688(I)_HunterKiller_cover.jpg,game.php?id=1,9.5,24,50.5,15.5
200,6 Days a Sacrifice,gameimages/323670-6das1.gif,game.php?id=88,3,-1,-1,3
201,6180 the moon,gameimages/6180TheMoonTitle.jpg,game.php?id=13836,1,2,2,2
202,6 Day Assassin,gameimages/43132-6DayAssassin.jpg,game.php?id=87,15,-1,-1,15
203,69 Ways to Kill a Zombie,gameimages/45336_69_Ways_to_Kill_a_Zombie.jpg,game.php?id=45336,-1,-1,30,30
204,60 Seconds Santa Run,gameimages/60SecondsSantaRun.jpg,game.php?id=91,15,-1,-1,15
205,60 Seconds Burger Run,gameimages/60SecondsBurgerRun.jpg,game.php?id=90,5,-1,5,5
206,6 Degrees of Sabotage,gameimages/6DegreesOfSabotage.jpg,game.php?id=89,5,-1,15,15
207,64,gameimages/46999_640.jpg,game.php?id=46999,-1,-1,-1,-1
208,7 Days to Die,gameimages/7DaystoDie.jpg,game.php?id=13500,30,66.5,89,71
209,7 Grand Steps Step 1: What Ancients Begat,gameimages/7_Grand_Steps_What_Ancients_Begat.jpg,game.php?id=11732,8,-1,11,9
210,7 Wonders: Magical Mystery Tour,gameimages/7_Wonders_Magical_Mystery_Tour.jpg,game.php?id=94,7,-1,8.5,7.5
